1
0
0
0x38
0x38
0xaf923200 0x372daf00 0xff892900
-1 397 -1
-1 396 0
-1 394 -1
-1 393 0
-1 392 0
-1 391 -1
-1 390 -1
-1 389 0
-1 388 0
-1 387 0
-1 386 0
-1 384 0
-1 383 0
-1 382 0
-1 381 0
-1 380 0
-1 378 0
-1 377 0
-1 376 -2
-1 375 -2
-1 374 -1
-1 373 -1
-1 372 0
-1 371 -1
-1 370 0
-1 369 -5
-1 368 -7
-1 367 -1
-1 367 16
-1 367 -12
-1 368 0
-1 369 -7
-1 370 -1
-1 372 0
-1 373 -1
-1 374 -2
-1 375 0
-1 376 -1
-1 377 0
-1 378 -1
-1 380 0
-1 381 -1
-1 382 -5
-1 383 0
-1 384 -1
-1 385 -3
-1 387 -2
-1 388 -4
-1 389 -2
-1 390 -3
-1 391 -1
-1 392 -12
-1 393 -3
-1 392 -7
-1 392 1
-1 393 -9
-1 392 -12
-1 391 0
-1 389 0
-1 387 -3
-1 386 -1
-1 384 -1
-1 382 0
-1 380 -1
-1 377 -1
-1 376 0
-1 374 0
-1 371 -1
-1 369 0
-1 367 -1
-1 365 0
-1 364 -1
-1 363 0
-1 361 0
-1 360 0
-1 358 0
-1 357 0
-1 356 0
-1 354 0
-1 352 0
-1 351 0
-1 349 0
-1 348 0
-1 347 0
-1 345 0
-1 342 0
-1 341 0
-1 340 0
-1 339 0
-1 337 0
-1 336 0
-1 335 0
-1 333 0
-1 332 0
-1 331 -1
-1 329 0
-1 327 -1
-1 325 0
-1 324 -1
-1 322 0
-1 321 0
-1 320 1
-1 320 0
-1 318 0
-1 316 0
-1 315 0
-1 314 -1
-1 312 0
-1 311 0
-1 309 0
-1 306 0
-1 301 0
-1 299 -1
-1 296 -1
-1 295 0
-1 293 0
-1 292 0
-1 286 -1
-1 285 0
-1 283 0
-1 281 0
-1 277 -1
-1 275 0
-1 273 0
-1 264 0
-1 262 0
-1 258 0
-1 255 0
-1 254 0
-1 251 0
-1 246 0
-1 244 0
-1 241 0
-1 234 0
-1 226 0
-1 222 0
-1 221 0
-1 220 0
-1 217 0
-1 214 0
-1 211 0
-1 208 0
-1 203 0
-1 200 0
-1 198 0
-1 197 0
-1 196 0
-1 192 0
-1 188 0
-1 185 0
-1 183 0
-1 181 0
-1 179 0
-1 176 0
-1 175 -2
-1 174 0
-1 173 -4
-1 171 -6
-1 170 -3
-1 169 -4
-1 168 -3
-1 167 -1
-1 166 -6
-1 165 -2
-1 164 -7
-1 164 16
-1 164 0
-1 163 -2
-1 162 -8
-1 161 -6
-1 159 -8
-1 158 -9
-1 157 -2
-1 156 -4
-1 157 -7
-1 156 -7
-1 155 -6
-1 156 0
-1 155 -6
-1 154 -8
-1 153 -13
-1 152 -9
-1 153 -12
-1 153 1
-1 153 -2
-1 154 -24
-1 155 -9
-1 154 -9
-1 153 -9
-1 154 -22
-1 153 -14
-1 153 16
-1 154 -4
-1 155 -13
-1 154 -37
-1 153 -27
-1 153 1
-1 153 -2
-1 152 -5
-1 151 -2
-1 150 -2
-1 148 -11
-1 147 -6
-1 146 -2
-1 147 -14
-1 146 -6
-1 147 -1
-1 148 -3
-1 149 -2
-1 148 -2
-1 149 -3
-1 150 -7
-1 151 0
-1 152 -5
-1 153 -5
-1 154 -5
-1 155 -5
-1 156 -4
-1 158 -10
-1 159 -5
-1 160 16
-1 160 -4
-1 161 -4
-1 162 -5
-1 163 -4
-1 165 -4
-1 167 -5
-1 168 -4
-1 170 -5
-1 171 -4
-1 172 -5
-1 173 -5
-1 174 -4
-1 175 -5
-1 176 -5
-1 177 -4
-1 178 -4
-1 179 -10
-1 180 -4
-1 181 -4
-1 182 -5
-1 183 -4
-1 184 -2
-1 184 1
-1 184 0
-1 185 -10
-1 186 -5
-1 187 -4
-1 188 -4
-1 189 -4
-1 190 -4
-1 192 -4
-1 193 -4
-1 194 -23
-1 195 -2
-1 196 0
-1 197 -2
-1 198 -1
-1 199 -1
-1 200 -2
-1 201 0
-1 202 0
-1 203 -1
-1 204 0
-1 205 -1
-1 206 0
-1 207 -1
-1 208 0
-1 209 -1
-1 210 0
-1 212 0
-1 214 0
-1 215 0
-1 216 0
-1 217 -1
-1 219 0
-1 221 0
-1 222 0
-1 223 0
-1 224 0
-1 225 0
-1 226 0
-1 228 0
-1 229 0
-1 234 0
-1 237 0
-1 241 0
-1 243 0
-1 245 0
-1 247 0
-1 251 0
-1 253 0
-1 256 0
-1 258 0
-1 264 0
-1 267 0
-1 269 0
-1 275 0
-1 278 0
-1 280 0
-1 283 0
-1 285 0
-1 288 0
-1 291 0
-1 292 0
-1 294 0
-1 297 0
-1 301 0
-1 303 0
-1 304 0
-1 307 0
-1 309 0
-1 312 -1
-1 315 0
-1 318 0
-1 321 0
-1 323 0
-1 325 0
-1 328 0
-1 330 0
-1 333 0
-1 335 0
-1 337 0
-1 339 0
-1 342 0
-1 344 0
-1 347 0
-1 350 0
-1 352 0
-1 355 0
-1 358 0
-1 360 0
-1 362 0
-1 364 0
-1 368 0
-1 370 0
-1 371 0
-1 374 0
-1 376 0
-1 378 0
-1 380 0
-1 381 0
-1 383 0
-1 384 0
-1 387 0
-1 390 0
-1 391 0
-1 395 0
-1 397 0
-1 399 0
-1 401 0
-1 404 0
-1 406 0
-1 408 0
-1 409 0
-1 410 0
-1 412 0
-1 413 0
-1 414 0
-1 416 0
-1 417 0
-1 419 0
-1 420 0
-1 421 0
-1 423 0
-1 424 0
-1 425 0
-1 427 -1
-1 429 0
-1 431 0
-1 432 0
-1 434 0
-1 436 0
-1 437 0
-1 439 0
-1 440 0
-1 443 0
-1 444 0
-1 445 0
-1 447 0
-1 448 0
-1 450 -1
-1 452 0
-1 453 0
-1 454 0
-1 456 0
-1 458 0
-1 459 0
-1 460 0
-1 462 0
-1 463 -1
-1 465 0
-1 467 0
-1 469 -1
-1 471 -1
-1 472 0
-1 473 -1
-1 475 -2
-1 476 0
-1 477 0
-1 478 -1
-1 479 -1
-1 480 0
-1 481 -1
-1 482 -3
-1 483 1
-1 483 -6
-1 482 -1
-1 481 -3
-1 480 -2
-1 479 -2
-1 476 0
-1 475 0
-1 473 0
-1 472 0
-1 469 0
-1 467 0
-1 464 0
-1 463 0
-1 461 0
-1 460 0
-1 459 0
-1 457 0
-1 454 0
-1 452 0
-1 450 0
-1 449 0
-1 446 0
-1 444 0
-1 443 0
-1 440 0
-1 436 0
-1 434 0
-1 432 0
-1 429 0
-1 426 0
-1 424 0
-1 420 0
-1 418 0
-1 410 0
-1 403 0
-1 399 0
-1 394 0
-1 391 0
-1 389 0
-1 384 0
-1 374 0
-1 365 0
-1 362 0
-1 359 0
-1 352 0
-1 349 0
-1 348 0
-1 344 0
-1 341 0
-1 338 0
-1 337 1
-1 333 -1
-1 332 0
-1 330 0
-1 329 0
-1 328 0
-1 326 0
-1 325 0
-1 322 0
-1 319 0
-1 317 0
-1 315 0
-1 312 0
-1 290 0
-1 288 0
-1 286 0
-1 281 0
-1 280 0
-1 276 0
-1 274 0
-1 269 0
-1 264 0
-1 261 0
-1 259 0
-1 257 0
-1 254 0
-1 248 0
-1 242 0
-1 239 0
-1 237 0
-1 236 0
-1 234 1
-1 232 0
-1 229 0
-1 218 0
-1 215 0
-1 208 0
-1 206 0
-1 204 0
-1 203 0
-1 201 0
-1 199 0
-1 196 0
-1 195 0
-1 192 0
-1 188 0
-1 187 0
-1 185 0
-1 184 0
-1 182 0
-1 181 0
-1 179 -1
-1 177 0
-1 176 0
-1 175 0
-1 173 -1
-1 171 0
-1 169 0
-1 168 0
-1 167 0
-1 166 0
-1 165 0
-1 163 -1
-1 162 -1
-1 161 -4
-1 160 -6
-1 159 -9
-1 156 -4
-1 155 -2
-1 155 1
-1 155 -1
-1 154 -4
-1 153 -5
-1 151 -4
-1 150 -4
-1 149 -4
-1 148 -5
-1 147 -5
-1 146 -4
-1 145 -4
-1 144 -5
-1 143 -4
-1 142 -4
-1 141 -5
-1 140 -4
-1 139 -4
-1 138 -4
-1 136 -4
-1 134 -3
-1 133 -4
-1 132 -4
-1 130 -4
-1 128 -4
-1 127 -4
-1 125 -4
-1 124 -4
-1 122 -3
-1 121 -4
-1 120 -4
-1 118 -7
-1 117 -3
-1 115 -8
-1 113 -3
-1 112 -8
-1 111 -5
-1 110 -4
-1 109 -5
-1 108 -5
-1 107 -5
-1 105 -4
-1 104 -5
-1 102 -4
-1 101 -4
-1 100 -5
-1 99 -4
-1 98 -2
-1 98 1
-1 98 -6
-1 99 -5
-1 100 -5
-1 101 -5
-1 102 -5
-1 103 -5
-1 105 -4
-1 107 -4
-1 109 -5
-1 111 -4
-1 113 -4
-1 115 -5
-1 118 -5
-1 120 -4
-1 122 -5
-1 125 -5
-1 126 -5
-1 128 -5
-1 129 -5
-1 131 -5
-1 132 -5
-1 133 -4
-1 135 -5
-1 136 -5
-1 138 -5
-1 139 -4
-1 139 16
-1 140 -5
-1 141 -5
-1 142 -5
-1 143 -5
-1 144 -5
-1 145 -5
-1 146 -5
-1 147 -5
-1 148 -5
-1 149 -4
-1 150 -5
-1 151 -5
-1 153 -4
-1 154 -5
-1 156 -5
-1 157 -4
-1 159 -4
-1 161 -4
-1 164 -3
-1 164 1
-1 167 -3
-1 169 -4
-1 171 -4
-1 173 -5
-1 174 -4
-1 176 -5
-1 177 -4
-1 179 -5
-1 180 -4
-1 183 -5
-1 184 -4
-1 186 -4
-1 188 -5
-1 190 -4
-1 193 -4
-1 195 -3
-1 197 -4
-1 199 -4
-1 202 -4
-1 205 -4
-1 207 -4
-1 209 -4
-1 211 -4
-1 213 -4
-1 215 -3
-1 217 -4
-1 219 -3
-1 222 -4
-1 225 -4
-1 228 -4
-1 230 -4
-1 233 -4
-1 235 -5
-1 237 -4
-1 240 -4
-1 242 -4
-1 244 -4
-1 245 -10
-1 246 -5
-1 245 -5
-1 246 -5
-1 247 1
-1 247 -3
-1 248 -5
-1 251 -3
-1 252 -3
-1 254 -4
-1 256 -4
-1 258 -3
-1 259 -4
-1 260 -5
-1 261 -5
-1 263 -5
-1 265 -5
-1 263 -5
-1 262 -5
-1 260 -5
-1 259 -5
-1 258 -5
-1 256 -5
-1 255 -5
-1 254 -5
-1 253 -5
-1 252 -5
-1 251 0
-1 251 1
-1 251 0
-1 251 8
-1 251 -1
-1 252 -5
-1 254 -5
-1 256 -5
-1 259 -5
-1 261 -5
-1 263 -5
-1 265 -5
-1 266 -5
-1 267 -5
-1 268 -5
-1 269 -5
-1 271 -5
-1 273 -5
-1 274 -5
-1 275 -4
-1 276 -5
-1 277 -5
-1 278 -5
-1 281 -4
-1 282 -5
-1 285 -4
-1 287 -5
-1 288 -5
-1 289 -1
-1 289 1
-1 289 -2
-1 287 -5
-1 285 -4
-1 282 -5
-1 279 -4
-1 276 -5
-1 273 -4
-1 270 -5
-1 267 -5
-1 264 -5
-1 262 -5
-1 260 -5
-1 257 -5
-1 256 -5
-1 254 -5
-1 253 -5
-1 251 -5
-1 249 -2
-1 249 16
-1 249 -1
-1 248 -5
-1 247 -6
-1 246 -5
-1 244 -5
-1 243 -5
-1 242 -5
-1 241 -5
-1 240 -5
-1 239 -5
-1 238 -5
-1 236 -5
-1 235 -5
-1 233 -5
-1 232 -6
-1 230 -5
-1 228 -5
-1 227 -5
-1 226 -4
-1 225 -5
-1 224 -5
-1 223 -2
-1 223 1
-1 223 -1
-1 222 -5
-1 220 -5
-1 218 -5
-1 217 -5
-1 216 -5
-1 215 -5
-1 213 -5
-1 212 -5
-1 211 -5
-1 209 -5
-1 208 -5
-1 206 -5
-1 205 -5
-1 203 -5
-1 202 -5
-1 201 -5
-1 200 -5
-1 198 -5
-1 197 -5
-1 196 -5
-1 194 -5
-1 192 -5
-1 190 -5
-1 189 -5
-1 187 -5
-1 186 -5
-1 185 -5
-1 184 -1
-1 184 1
-1 184 -2
-1 185 -6
-1 187 -6
-1 188 -6
-1 189 -6
-1 191 -7
-1 193 -6
-1 195 -6
-1 198 -5
-1 200 -6
-1 202 -6
-1 204 -6
-1 206 -5
-1 208 -6
-1 210 -6
-1 212 -5
-1 213 -5
-1 215 -5
-1 217 -5
-1 218 -5
-1 220 -5
-1 223 -4
-1 225 -5
-1 228 -5
-1 230 -4
-1 232 -4
-1 234 -4
-1 237 -4
-1 239 -5
-1 240 -4
-1 244 -5
-1 246 -4
-1 249 -5
-1 252 -4
-1 256 -5
-1 259 -4
-1 264 -4
-1 266 -4
-1 269 -4
-1 272 -3
-1 274 -5
-1 277 -3
-1 279 -5
-1 282 -4
-1 283 0
-1 283 1
-1 283 -2
-1 284 -5
-1 285 -5
-1 286 -5
-1 288 -10
-1 289 -5
-1 291 -4
-1 292 -5
-1 294 -4
-1 295 -5
-1 296 -4
-1 298 -5
-1 299 -5
-1 301 -4
-1 302 -4
-1 305 -4
-1 306 -4
-1 309 -4
-1 311 -4
-1 313 -4
-1 314 -3
-1 316 -4
-1 319 -4
-1 321 -4
-1 324 -4
-1 326 -4
-1 329 -3
-1 331 -3
-1 334 -3
-1 336 -3
-1 339 -4
-1 342 -2
-1 345 -3
-1 349 -2
-1 351 -3
-1 355 -2
-1 357 -3
-1 360 -4
-1 363 -2
-1 364 -3
-1 364 1
-1 364 0
-1 365 -4
-1 366 -4
-1 367 -10
-1 368 -5
-1 370 -4
-1 372 -5
-1 374 -4
-1 376 -4
-1 378 -4
-1 380 -5
-1 382 -4
-1 383 -5
-1 384 -4
-1 386 -5
-1 388 -5
-1 389 -5
-1 390 -5
-1 391 -10
-1 393 16
-1 393 -4
-1 394 -5
-1 395 -5
-1 396 -4
-1 398 -5
-1 399 -5
-1 400 -5
-1 401 -5
-1 402 -5
-1 403 -5
-1 404 -5
-1 406 -5
-1 408 -5
-1 410 -5
-1 412 -5
-1 414 -6
-1 417 -5
-1 419 -6
-1 421 -6
-1 423 -5
-1 425 -5
-1 426 -5
-1 427 -5
-1 428 -5
-1 429 -5
-1 430 -5
-1 431 -5
-1 432 -5
-1 433 -4
-1 433 1
-1 434 -6
-1 433 -5
-1 432 -5
-1 431 -6
-1 430 -5
-1 429 -5
-1 428 -6
-1 426 -5
-1 425 -5
-1 423 -5
-1 421 -5
-1 419 -6
-1 416 -6
-1 414 -5
-1 412 -5
-1 409 -6
-1 406 -5
-1 403 -6
-1 402 -5
-1 400 -5
-1 399 -5
-1 398 -5
-1 397 -5
-1 396 -5
-1 395 -5
-1 394 -5
-1 393 -5
-1 391 -4
-1 390 -5
-1 387 -5
-1 385 -4
-1 384 -5
-1 381 -5
-1 380 -5
-1 379 -4
-1 377 -5
-1 376 -5
-1 375 -5
-1 374 -4
-1 372 -5
-1 371 -5
-1 370 -5
-1 369 -1
-1 369 1
-1 369 -2
-1 368 -4
-1 367 -5
-1 366 -5
-1 365 -4
-1 364 1
-1 364 -3
-1 363 -5
-1 362 -4
-1 361 -5
-1 359 -3
-1 358 -7
-1 357 -4
-1 356 -4
-1 355 8
-1 355 -6
-1 354 -3
-1 353 -1
-1 353 1
-1 353 -3
-1 352 -2
-1 351 0
-1 350 -1
-1 349 -2
-1 348 0
-1 344 -3
-1 343 -1
-1 342 -1
-1 341 -2
-1 340 -2
-1 339 -1
-1 338 -2
-1 337 0
-1 336 -1
-1 335 -1
-1 334 0
-1 333 0
-1 332 -1
-1 331 0
-1 330 -1
-1 329 -1
-1 328 -2
-1 327 -1
-1 326 0
-1 325 0
-1 325 1
-1 325 0
-1 324 0
-1 323 0
-1 322 -8
-1 321 -20
-1 320 -12
-1 319 -5
-1 318 -6
-1 317 -13
-1 316 -12
-1 315 -6
-1 314 -7
-1 314 16
-1 314 -3
-1 313 -5
-1 312 -6
-1 311 -6
-1 310 -6
-1 309 -12
-1 307 -6
-1 306 -12
-1 305 -12
-1 304 -5
-1 303 -6
-1 302 -5
-1 301 -6
-1 300 -5
-1 299 -5
-1 298 -8
-1 298 1
-1 298 -2
-1 297 -5
-1 296 -6
-1 295 -6
-1 294 -13
-1 293 -6
-1 292 -12
-1 291 -13
-1 290 -5
-1 289 -6
-1 288 -5
-1 287 -2
-1 287 1
-1 287 -2
-1 286 -6
-1 285 -5
-1 284 -6
-1 282 -13
-1 280 -6
-1 279 -6
-1 278 -5
-1 277 -6
-1 276 -6
-1 275 -5
-1 274 -6
-1 273 -12
-1 271 0
-1 271 1
-1 271 -3
-1 270 -6
-1 269 -5
-1 268 -5
-1 267 -6
-1 266 -5
-1 265 -5
-1 264 -5
-1 263 -6
-1 262 -5
-1 261 -6
-1 260 -5
-1 259 -6
-1 258 -5
-1 257 -5
-1 256 -5
-1 255 -5
-1 254 -5
-1 253 -2
-1 253 16
-1 253 -1
-1 252 -5
-1 251 -5
-1 250 -4
-1 249 -4
-1 248 -5
-1 246 -4
-1 244 -9
-1 243 -5
-1 242 -4
-1 241 -10
-1 240 -10
-1 239 -5
-1 238 -4
-1 236 -3
-1 235 -5
-1 233 -3
-1 231 -4
-1 230 -4
-1 229 -5
-1 228 -4
-1 227 -5
-1 226 -4
-1 225 -5
-1 224 -5
-1 223 -5
-1 222 -5
-1 221 -5
-1 220 -5
-1 219 -3
-1 219 1
-1 218 -5
-1 217 -5
-1 216 -5
-1 215 -5
-1 214 -4
-1 213 -5
-1 212 -5
-1 211 -10
-1 210 -5
-1 209 -4
-1 208 -5
-1 207 -4
-1 206 0
-1 206 1
-1 206 -3
-1 205 -5
-1 204 -4
-1 203 -10
-1 202 -5
-1 201 -5
-1 200 -4
-1 199 -10
-1 198 -5
-1 197 -4
-1 196 -17
-1 197 -4
-1 197 1
-1 198 -6
-1 199 -5
-1 200 -5
-1 202 -5
-1 203 -5
-1 204 -5
-1 206 -5
-1 208 -5
-1 210 -5
-1 212 -5
-1 213 -5
-1 214 -5
-1 216 -5
-1 217 -5
-1 218 -5
-1 219 -5
-1 220 -5
-1 221 -5
-1 222 -5
-1 223 -5
-1 224 -6
-1 225 -5
-1 226 -5
-1 227 -5
-1 228 -5
-1 229 -5
-1 230 -5
-1 231 -2
-1 231 16
-1 231 -1
-1 232 -5
-1 233 -5
-1 235 -5
-1 236 -5
-1 237 -5
-1 238 -5
-1 239 -5
-1 240 -5
-1 241 -5
-1 242 -5
-1 243 -5
-1 244 -5
-1 245 -5
-1 246 -5
-1 247 -5
-1 249 -5
-1 250 -3
-1 251 -1
-1 252 -1
-1 253 0
-1 254 -3
-1 255 -2
-1 256 0
-1 257 -1
-1 258 0
-1 259 -1
-1 260 -1
-1 262 0
-1 263 0
-1 264 -2
-1 265 0
-1 266 -2
-1 267 -1
-1 268 0
-1 269 0
-1 270 -1
-1 271 0
-1 271 1
-1 272 0
-1 273 0
-1 274 -1
-1 275 -1
-1 276 0
-1 277 -1
-1 278 0
-1 279 0
-1 280 0
-1 282 -2
-1 284 0
-1 285 -1
-1 286 -1
-1 287 0
-1 288 0
-1 289 0
-1 290 0
-1 292 0
-1 294 0
-1 296 0
-1 297 0
-1 298 0
-1 299 0
-1 301 0
-1 302 0
-1 304 -1
-1 305 0
-1 306 0
-1 308 0
-1 309 0
-1 311 -1
-1 312 0
-1 313 0
-1 315 -1
-1 317 0
-1 319 0
-1 320 0
-1 322 0
-1 325 0
-1 328 0
-1 329 0
-1 330 0
-1 332 0
-1 333 0
-1 335 0
-1 336 0
-1 338 0
-1 339 0
-1 341 -1
-1 343 0
-1 345 -1
-1 347 0
-1 348 0
-1 350 0
-1 352 0
-1 354 0
-1 358 0
-1 359 0
-1 363 -1
-1 367 0
-1 370 0
-1 372 0
-1 374 0
-1 376 0
-1 377 0
-1 379 0
-1 383 0
-1 384 0
-1 387 0
-1 389 0
-1 390 0
-1 392 0
-1 394 0
-1 397 0
-1 399 0
-1 402 0
-1 404 0
-1 407 0
-1 409 0
-1 410 0
-1 412 0
-1 414 -1
-1 415 0
-1 417 0
-1 418 0
-1 420 0
-1 421 0
-1 423 -1
-1 425 -1
-1 426 0
-1 428 0
-1 429 0
-1 431 0
-1 435 0
-1 437 0
-1 440 0
-1 442 0
-1 443 0
-1 444 0
-1 445 0
-1 447 0
-1 448 0
-1 449 -1
-1 450 0
-1 451 0
-1 452 0
-1 453 0
-1 455 0
-1 457 0
-1 458 0
-1 459 0
-1 461 0
-1 462 0
-1 463 0
-1 464 0
-1 465 0
-1 467 0
-1 469 0
-1 470 0
-1 471 0
-1 476 0
-1 477 0
-1 479 0
-1 480 0
-1 481 -1
-1 482 -10
-1 483 -34
-1 484 -50
-1 484 16
-1 484 -47
-1 483 -27
-1 483 1
-1 483 -33
-1 482 -20
-1 481 -50
-1 481 1
-1 481 -39
-1 480 -43
-1 479 -4
-1 479 1
-1 479 -41
-1 480 -97
-1 481 -64
=== ini section ===
level_name=Flashback from good old Speccy!
